COMBUSTÍVEL,ANO,ESTADO,UNIDADE,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
GLP (m3),2013,SANTA CATARINA,m3,41126.012681159416,37691.559782608696,40530.271739130432,43799.339495353212,44910.303482761228,43422.680423060381,48827.503623188401,48000.096014492752,43321.842391304344,46532.552376189196,42217.026103943601,40864.229926098204,521243.41803928983
GLP (m3),2013,RIO GRANDE DO SUL,m3,64801.041666666664,59533.190217391297,68468.240942028991,72713.777545034885,76701.180497731111,76132.684783017845,84472.106884057968,83139.545289855057,73237.405797101441,76128.43927667207,68643.477337833683,65044.226825914004,869015.31706330506
GLP (m3),2013,MATO GROSSO DO SUL,m3,12754.48188405797,12300.711956521738,12786.643115942028,13972.092175140973,14348.177180221801,13436.581018347822,15490.884057971014,15490.036231884056,13517.884057971014,14314.299328366153,13094.492892751181,13564.752936243864,165071.0368354196
GLP (m3),2013,MATO GROSSO,m3,16235.24456521739,16238.384057971014,16166.864130434782,17172.560069089242,16945.790915100781,15932.054452198425,17725.708333333332,17588.418478260868,15766.641304347824,17370.679959268251,16631.772696131833,16972.586507278415,200746.70546863214
GLP (m3),2013,GOIÁS,m3,43041.512681159416,40180.525362318833,42299.393115942024,46522.305826263408,45561.368081583722,43393.67834098528,46608.181159420288,47002.217391304344,41467.509057971009,46706.344559572302,43287.099279408758,44620.565191180896,530690.70004711021
GLP (m3),2013,DISTRITO FEDERAL,m3,13487.8134057971,13478.492753623188,14199.456521739128,15537.462234178409,14900.662196454256,14583.56854603317,15532.706521739128,15652.347826086956,14300.615942028984,15470.022704480085,15287.659681027822,15683.459544371937,178114.26787756017
GLP (m3),2014,RONDÔNIA,m3,7205.8224637681151,7115.8115942028971,7653.1594202898541,7049.744565217391,7415.9492753623181,7037.079710144927,7789.0615942028971,7324.2101449275351,7249.4873188405791,7741.605072463768,7145.8079710144921,7934.1938405797091,88661.932971014496
GLP (m3),2014,ACRE,m3,2888.105072463768,2687.782608695652,2962.1865942028985,2862.278985507246,2899.3768115942025,2684.7155797101445,3123.9692028985505,2930.9257246376806,3062.5108695652175,3155.253623188406,2850.4166666666665,3383.1268115942025,35490.64855072464
GLP (m3),2014,AMAZONAS,m3,16471.371376811592,15228.1884057971,17073.97644927536,17250.577898550724,16789.528985507248,14995.851449275362,17490.206521739128,16356.637681159418,16496.753623188404,16858.88949275362,15160.25724637681,16937.559782608696,197109.79891304349
GLP (m3),2014,RORAIMA,m3,1711.8967391304345,1554.2971014492753,1760.119565217391,1739.3822463768115,1793.692028985507,1685.179347826087,1887.528985507246,1799.8840579710145,1834.2771739130433,1829.4492753623185,1682.8840579710145,1883.1702898550723,21161.76086956522
GLP (m3),2014,PARÁ,m3,31296.554347826084,30123.793478260868,31666.73913043478,31559.11413043478,32841.884057971009,30111.016304347824,33232.757246376808,31145.927536231884,31850.309782608692,33847.25,29896.603260869564,34375.034420289849,381946.9836956521
GLP (m3),2014,AMAPÁ,m3,2612.782608695652,2426.5471014492755,2615.063405797101,2573.6684782608691,2639.4655797101445,2478.579710144927,2564.300724637681,2597.2409420289855,2488.3605072463765,2690.4202898550725,2390.875,2748.907608695652,30826.211956521733
GLP (m3),2014,TOCANTINS,m3,6972.6286231884051,6597.88768115942,6789.5887681159411,7092.7916666666661,6632.990942028985,6498.123188405797,6830.744565217391,6473.313405797101,6793.3623188405791,7065.3043478260861,6376.45652173913,7408.175724637681,81531.367753623184
GLP (m3),2014,MARANHÃO,m3,24337.355072463764,21993.58695652174,23166.929347826084,24066.574275362316,23630.893115942028,21755.585144927536,24904.17572463768,23263.585144927536,23285.195652173912,23891.657608695648,22035.778985507248,24742.923913043476,281074.24094202899
GLP (m3),2014,PIAUÍ,m3,13627.221014492752,12345.648550724636,13310.378623188404,13490.552536231882,14257.751811594202,13316.9384057971,14504.471014492752,13835.987318840578,13829.706521739128,13672.048913043476,12836.795289855072,14405.753623188404,163433.25362318842
GLP (m3),2014,CEARÁ,m3,41188.632246376808,37174.77717391304,38344.795289855072,39859.172101449272,41394.023550724633,38704.311594202896,43224.360507246376,40717.954710144921,41613.648550724633,41439.875,39243.083333333328,42592.231884057968,485496.86594202893
GLP (m3),2014,RIO GRANDE DO NORTE,m3,17019.423913043476,15511.239130434782,15920.36956521739,16327.367753623188,17057.384057971012,16275.036231884056,18025.159420289852,17272.798913043476,18328.820652173912,17264.628623188404,15985.978260869564,17907.496376811592,202895.70289855072
GLP (m3),2014,PARAÍBA,m3,20083.403985507248,18391.074275362316,19105.746376811592,19405.804347826084,19927.579710144924,19243.55072463768,21859.748188405796,20682.030797101448,21401.481884057968,20934.88949275362,19483.036231884056,21454.715579710144,241973.06159420288
GLP (m3),2014,PERNAMBUCO,m3,47494.42391304348,44165.411231884056,46370.943840579705,46906.635869565209,49988.572463768112,46180.72826086956,52205.880434782601,51984.365942028984,51426.431159420288,50476.074275362313,47053.858695652169,50721.217391304344,584974.54347826086
GLP (m3),2014,ALAGOAS,m3,14353.090579710144,13409.884057971014,13654.13768115942,13703.652173913042,14514.80072463768,13587.057971014492,15331.4384057971,14837.405797101448,15262.289855072462,15343.393115942028,13925.73188405797,15608.86956521739,173531.75181159421
GLP (m3),2014,SERGIPE,m3,10823.956521739128,9425.2699275362302,11006.35688405797,11159.39492753623,11971.26268115942,11479.891304347824,13002.210144927536,12630.094202898548,12726.697463768116,12713.451086956522,11765.855072463768,11512.304347826086,140216.74456521738
GLP (m3),2014,BAHIA,m3,75319.929347826081,68344.963768115937,75230.224637681153,74082.057971014481,78375.896739130418,74933.632246376816,82091.224637681153,79965.315217391297,77758.356884057968,77751.969202898545,72198.201086956513,78916.788043478256,914968.55978260865
GLP (m3),2014,MINAS GERAIS,m3,108580.11956521738,102806.1920289855,108839.17210144927,110676.53623188405,118501.6902173913,114226.9420289855,127615.83333333333,123253.92391304347,115853.40942028984,116320.21920289854,108639.17028985506,119861.59239130434,1375174.8007246375
GLP (m3),2014,ESPÍRITO SANTO,m3,21125.3115942029,19328.324275362316,20203.08876811594,21054.454710144924,22089.606884057968,21137.193840579708,23514.619565217392,23030.45108695652,21927.23913043478,22712.26449275362,20781.873188405796,22791.874999999996,259696.30253623187
GLP (m3),2014,RIO DE JANEIRO,m3,74368.739130434784,71988.907608695648,77598.19927536232,81441.235507246369,88866.150362318833,85141.737318840576,94779.356884057968,91265.693840579697,88306.782608695648,88812.130434782594,80384.635869565202,90817.030797101441,1013770.5996376812
GLP (m3),2014,SÃO PAULO,m3,256721.29710144925,245648.37681159418,269168.80615942023,276038.80072463769,294487.89130434784,281536.42934782605,310729.93115942023,301177.54528985504,291479.08695652167,290690.08695652167,266244.43297101447,281606.81340579706,3365529.4981884053
GLP (m3),2014,PARANÁ,m3,69946.998188405792,66015.391304347824,72528.255434782608,75744.739130434784,81677.148550724625,80859.005434782608,88094.175724637666,82550.632246376801,79176.309782608689,80462.94927536232,72676.527173913026,75243.759057971009,924975.89130434766
GLP (m3),2014,SANTA CATARINA,m3,41848.391304347824,37877.534420289849,41837.911231884056,42923.530797101448,45092.003623188401,43926.822463768112,48985.320652173905,45886.833333333328,44960.92753623188,45831.293478260865,41401.188405797104,42332.492753623184,522904.24999999994
GLP (m3),2014,RIO GRANDE DO SUL,m3,62104.525362318833,58716.811594202889,68731.567028985504,71025.331521739121,77502.527173913026,76825.376811594208,82991.512681159409,78528.182971014481,75502.110507246369,74102.913043478256,65416.896739130432,67060.139492753617,858507.89492753614
GLP (m3),2014,MATO GROSSO DO SUL,m3,13333.13224637681,13110.717391304346,13930.536231884056,13896.98188405797,15051.487318840578,14665.999999999998,16748.222826086956,15162.721014492752,14973.679347826086,14782.92572463768,14183.16847826087,14921.126811594202,174760.69927536231
GLP (m3),2014,MATO GROSSO,m3,17138.010869565216,16344.489130434782,17531.532608695652,17474.378623188404,17446.648550724636,16707.742753623188,18512.117753623188,17197.824275362316,17308.981884057968,17511.034420289856,16387.08695652174,18368.009057971012,207927.85688405792
GLP (m3),2014,GOIÁS,m3,43771.826086956513,41151.561594202896,43325.003623188401,44454.538043478256,45073.22644927536,43611.5,47510.60144927536,46653.701086956513,44210.733695652169,45515.480072463768,41940.5018115942,47183.900362318833,534402.57427536219
GLP (m3),2014,DISTRITO FEDERAL,m3,14128.309782608696,14382.355072463768,14934.481884057968,15436.840579710144,16176.735507246374,15572.184782608694,16296.77536231884,15274.817028985506,14407.581521739128,14811.090579710144,14186.594202898548,15410.876811594202,181018.64311594202
GLP (m3),2015,RONDÔNIA,m3,7303.3260869565211,7057.817028985507,7807.722826086956,7632.6159420289841,7371.606884057971,7398.653985507246,7923.634057971014,7442.369565217391,7555.08152173913,7256.4764492753611,7074.6503623188401,7916.9909420289841,89740.945652173919
GLP (m3),2015,ACRE,m3,3144.1684782608691,2937.0398550724635,3131.909420289855,3061.7173913043475,2915.429347826087,3075.8605072463765,3224.192028985507,2887.639492753623,3107.0597826086955,2984.634057971014,2883.4891304347821,3233.2572463768115,36586.396739130432
GLP (m3),2015,AMAZONAS,m3,16110.722826086956,14588.081521739128,15988.123188405794,15746.135869565216,14838.061594202896,15315.396739130434,15394.755434782608,14747.746376811594,14964.884057971014,14635.865942028984,13541.057971014492,15132.63949275362,181003.47101449277
GLP (m3),2015,RORAIMA,m3,1708.5471014492753,1673.0090579710145,1790.9528985507243,1769.836956521739,1866.409420289855,1845.3224637681158,1885.601449275362,1862.6630434782608,1797.4384057971013,1790.0851449275362,1746.8496376811593,1931.4402173913043,21668.155797101448
GLP (m3),2015,PARÁ,m3,32151.197463768112,30122.331521739128,32553.219202898548,32688.762681159416,31393.199275362316,32552.273550724636,32660.019927536232,31656.581521739128,30739.382246376808,32613.153985507241,29542.811594202896,33275.371376811592,381948.30434782605
GLP (m3),2015,AMAPÁ,m3,2530.9166666666665,2407.5978260869565,2657.7952898550725,2672.639492753623,2573.5235507246375,2549.6141304347821,2573.958333333333,2545.143115942029,2502.3405797101445,2565.5597826086955,2332.56884057971,2761.7210144927535,30673.378623188401
GLP (m3),2015,TOCANTINS,m3,6812.4329710144921,6447.4873188405791,7258.847826086956,6977.3786231884051,6500.7971014492741,6874.4510869565211,7052.548913043478,6647.6431159420281,6507.764492753623,6341.7518115942021,6216.599637681159,6897.673913043478,80535.376811594178
GLP (m3),2015,MARANHÃO,m3,23569.159420289852,21880.530797101448,24280.71195652174,24038.61413043478,22913.583333333332,23252.556159420288,24188.423913043476,23404.894927536232,22316.996376811592,23203.249999999996,21193.965579710144,23766.653985507248,278009.34057971014
GLP (m3),2015,PIAUÍ,m3,14041.14492753623,12845.173913043476,14192.932971014492,13847.00724637681,13822.983695652172,14046.286231884056,14440.42572463768,14222.052536231882,13196.489130434782,13709.195652173912,12921.367753623188,13748.724637681158,165033.78442028986
GLP (m3),2015,CEARÁ,m3,42784.001811594193,36587.170289855072,40981.039855072464,40437.6231884058,40034.543478260865,42070.4981884058,42762.894927536225,42347.650362318833,40378.106884057968,41064.543478260865,38480.619565217392,42046.219202898545,489974.91123188403
GLP (m3),2015,RIO GRANDE DO NORTE,m3,17036.782608695652,15244.51992753623,16791.159420289856,16384.615942028984,16539.659420289852,16876.251811594204,18212.170289855072,17291.278985507248,16787.355072463764,17253.690217391304,16173.49456521739,17761.5,202352.47826086957
GLP (m3),2015,PARAÍBA,m3,20346.10144927536,18434.391304347824,20259.512681159416,19955.60144927536,19479.835144927536,20505.467391304348,22035.193840579708,21590.422101449272,20552.931159420288,20219.8768115942,18847.778985507248,20538.568840579708,242765.68115942029
GLP (m3),2015,PERNAMBUCO,m3,47136.891304347824,42949.865942028984,48139.29891304348,45362.525362318833,45649.164855072464,48025.945652173905,51597.264492753617,49676.499999999993,48037.451086956513,48255.358695652169,43951.481884057968,49231.480072463768,568013.22826086951
GLP (m3),2015,ALAGOAS,m3,14466.76449275362,13119.505434782608,14144.878623188404,13582.061594202896,13721.92028985507,14018.373188405794,15408.353260869564,14829.311594202896,14413.706521739128,14334.403985507246,13321.206521739128,15101.327898550722,170461.81340579706
GLP (m3),2015,SERGIPE,m3,10744.01992753623,9768.6068840579701,10727.277173913042,10420.21920289855,10240.88224637681,10849.235507246374,11615.458333333332,11427.273550724636,10918.320652173912,11073.80615942029,10092.715579710144,11242.686594202898,129120.50181159419
GLP (m3),2015,BAHIA,m3,74182.179347826081,66766.97644927536,73548.664855072449,71253.086956521729,73424.635869565216,77008.965579710144,82315.153985507233,80273.809782608689,74717.070652173905,74038.956521739121,68868.510869565216,73257.94927536232,889655.96014492749
GLP (m3),2015,MINAS GERAIS,m3,103610.8822463768,104530.83876811594,114524.45108695651,114207.98188405797,118499.30072463767,122557.73369565216,127447.57427536232,123748.61775362317,113565.48913043477,113008.65398550723,107329.6358695652,119329.83876811594,1382360.9981884058
GLP (m3),2015,ESPÍRITO SANTO,m3,20354.422101449272,19046.10144927536,21021.329710144924,21110.293478260868,21789.384057971012,22323.307971014492,23914.974637681156,23269.08695652174,22001.262681159416,21230.692028985504,19783.918478260868,21566.119565217392,257410.89311594202
GLP (m3),2015,RIO DE JANEIRO,m3,72734.996376811599,72166.918478260865,80961.628623188401,82978.182971014481,80609.724637681153,90910.068840579697,92589.010869565202,87845.498188405792,86586.965579710144,81225.943840579697,78039.666666666657,89154.137681159409,995802.74275362305
GLP (m3),2015,SÃO PAULO,m3,248478.87499999997,245453.00181159418,277608.36231884058,269973.17028985504,272662.38768115937,285752.53804347827,301020.07608695648,284383.0797101449,277679.68115942023,266635.97101449274,250686.39311594199,267856.15579710144,3248189.6920289854
GLP (m3),2015,PARANÁ,m3,68990.385869565216,67716.788043478256,81965.556159420288,71998.918478260865,76919.344202898545,83389.128623188401,87137.143115942017,81266.063405797089,78437.59782608696,77025.789855072449,74299.179347826081,75822.427536231873,924968.32246376807
GLP (m3),2015,SANTA CATARINA,m3,41000.445652173905,39063.637681159416,45037.422101449272,43607.630434782601,43803.108695652169,46988.650362318833,49551.666666666664,45097.706521739128,45098.211956521736,47057.360507246376,42719.909420289849,44993.436594202896,534019.18659420288
GLP (m3),2015,RIO GRANDE DO SUL,m3,62481.117753623177,57065.969202898545,70840.032608695648,69864.411231884049,70694.26630434781,79174.126811594208,82127.612318840576,74430.715579710144,72413.969202898545,74502.606884057968,67876.344202898545,67841.695652173905,849312.86775362329
GLP (m3),2015,MATO GROSSO DO SUL,m3,13332.60688405797,13279.409420289854,14753.552536231882,14299.851449275362,14777.41304347826,15387.509057971014,17060.210144927536,15331.467391304346,14469.480072463768,14690.318840579708,13151.717391304346,14869.280797101448,175402.8170289855
GLP (m3),2015,MATO GROSSO,m3,16752.16304347826,15364.489130434782,21111.972826086952,17509.637681159416,16705.547101449272,17944.628623188404,19855.23913043478,17539.985507246376,17643.583333333332,17639.73731884058,16639.1268115942,17779.742753623188,212485.85326086957
GLP (m3),2015,GOIÁS,m3,42057.32789855072,42267.239130434784,47437.442028985497,44820.695652173905,45017.97644927536,46037.150362318833,47201.751811594193,46834.072463768112,43048.65217391304,43610.463768115937,41565.168478260865,45901.3731884058,535799.313405797
GLP (m3),2015,DISTRITO FEDERAL,m3,13208.291666666666,13255.097826086956,15015.315217391302,14833.4384057971,14796.115942028984,15478.827898550722,15859.320652173912,15488.822463768116,14486.802536231882,14396.251811594202,13447.253623188404,15565.124999999998,175830.66304347827
GLP (m3),2016,RONDÔNIA,m3,6614.5778985507241,7301.333333333333,7809.8423913043471,7310.490942028985,7820.652173913043,7825.3514492753611,7553.204710144927,7912.2681159420281,7815.6793478260861,7394.2373188405791,7634.0706521739121,8150.036231884058,91141.744565217377
GLP (m3),2016,ACRE,m3,2753.0561594202895,2812.1304347826085,3089.547101449275,2899.7318840579705,3080.5434782608691,3105.3007246376806,2912.634057971014,3096.1249999999995,3106.960144927536,2863.597826086956,2947.9891304347821,3403.8749999999995,36071.490942028977
GLP (m3),2016,AMAZONAS,m3,14097.858695652172,13373.802536231882,14970.516304347824,14140.822463768116,14310.005434782608,14410.510869565216,14511.42028985507,14566.101449275362,14872.458333333332,13689.251811594202,14437.581521739128,15810.331521739128,173190.66123188406
GLP (m3),2016,RORAIMA,m3,1689.0724637681158,1768.2880434782608,1885.8840579710145,1801.2499999999998,1896.9456521739128,1903.6865942028985,1909.4329710144928,1927.0942028985505,1963.9329710144928,1787.534420289855,1850.338768115942,1990.8134057971013,22374.273550724636
GLP (m3),2016,PARÁ,m3,29408.538043478256,30993.71195652174,33308.163043478256,32121.873188405792,31413.324275362316,31509.331521739128,30157.619565217388,33195.92572463768,30863.124999999996,30947.458333333332,29589.52717391304,34067.740942028984,377576.33876811591
GLP (m3),2016,AMAPÁ,m3,2390.228260869565,2432.099637681159,2581.9855072463765,2534.2010869565215,2589.0615942028985,2477.2572463768115,2386.1702898550725,2604.2862318840575,2509.7463768115936,2420.313405797101,2447.7880434782605,2807.054347826087,30180.192028985501
GLP (m3),2016,TOCANTINS,m3,6106.480072463768,6336.764492753623,6853.4637681159411,6395.9710144927531,6407.51268115942,6502.2028985507241,6165.9293478260861,6934.771739130435,6267.2916666666661,6203.6286231884051,6468.639492753623,6785.2282608695641,77427.884057971009
GLP (m3),2016,MARANHÃO,m3,21591.632246376808,22318.443840579708,24072.46376811594,22529.583333333332,23424.931159420288,23045.329710144924,21948.4402173913,25565.36231884058,22779.034420289852,22377.980072463764,22373.574275362316,24321.21195652174,276347.98731884052
